date,official,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,xgb_used,n_simultaneous_plan,max_unserved_kwh
2025-01-01,False,6000.0,1200.0,1200.0,54149.36557,32909.86521609,34900.52516766667,94,179691.3758428429,212601.2410589329,0.0,679.3241201388888,799.813790470037,842.9938874999999,1217.1863168434993,False,0,0.0
2025-01-02,False,1200.0,1379.850886518519,1200.0,96864.467116,61838.2622259697,1441.2970478666587,18,6895.854792420027,68734.11701838973,372.33003333333477,123.04837826063368,164.7435103000489,57.73267502672935,129.8590218806786,True,0,0.0
2025-01-03,False,1379.850886518519,8481.126651185186,1200.0,97944.238184,62885.33011567641,0.0,0,0.0,62885.33011567641,42715.456829999996,1903.3609095784507,2085.7934264722885,101.85126945671504,231.04065228285825,True,0,0.0
2025-01-04,False,8481.126651185186,1200.0,1200.0,38194.635846,20497.9178687934,2492.2635726666676,12,15581.930857671106,36079.84872646451,170.00289971193342,195.89782039116756,263.0052848589917,76.67771923414294,172.67999240989195,True,0,0.0
2025-01-05,False,1200.0,1200.0,1200.0,45689.13805524001,24456.500220631257,47200.03690769333,101,236724.75820011715,261181.2584207484,0.0,2027.648292453342,2304.8527614203726,77.83685538814481,175.8059460412439,True,0,0.0
2025-01-06,False,1200.0,1284.6244788888896,1200.0,93508.075452,59540.1848862236,2045.7997292333316,13,11408.790058074825,70948.97494429842,109.01594666666733,117.61542705620663,147.50396281288548,72.4343407518175,138.18944952912057,True,0,0.0
2025-01-07,False,1284.6244788888896,1200.0,1200.0,62535.32768,35342.926259703,32672.330570799997,84,175560.11308055403,210903.03934025703,19.38650000000007,1343.3396806450737,1655.9409699389053,127.83473916608197,275.18503904206744,True,0,0.0
2025-01-08,False,1200.0,1229.1001871851859,1200.0,93541.25130500001,58910.4224169475,3194.7044137333314,19,17654.04795760045,76564.47037454795,2407.189554485597,196.49866482204868,233.19219626750464,140.5767802127646,357.3896623080255,True,0,0.0
2025-01-09,False,1229.1001871851859,1319.7337440000001,1200.0,93946.68988739999,59926.38279894696,2116.6957201333285,18,12930.804024737114,72857.18682368407,199.578133333334,126.1022517279731,168.99861802660806,87.83835017216933,197.17787168173606,True,0,0.0
2025-01-10,False,1319.7337440000001,7000.346988592592,1200.0,83041.1947274,51250.75320508152,0.0,0,0.0,51250.75320508152,29050.392911263378,1406.3318570827907,1550.6757483773147,99.90643018306362,196.77766345085428,True,0,0.0
2025-01-11,False,7000.346988592592,1200.0,1200.0,43088.70755,23199.231979637,738.1680370666611,11,3181.0665520151883,26380.298531652188,1268.1867997942404,114.43239721408423,146.8636420076255,76.61045532150136,155.3006258260521,True,0,0.0
2025-01-12,False,1200.0,1224.6558418518523,1200.0,89892.52681099999,56433.0810467962,5592.76717163333,29,31822.807793575703,88255.8888403719,149.91530000000125,233.19854003906246,286.2783714762733,72.9368168708523,149.43479061400595,True,0,0.0
