date,official,terminal_mode,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,xgb_used,n_simultaneous_plan,max_unserved_kwh
2025-01-01,False,none,6000.0,1200.0,1200.0,54149.36557,32909.86521609,34900.52516766667,94,179691.3758428429,212601.2410589329,0.0,679.3241201388888,799.813790470037,842.9938874999999,1217.1863168434993,False,0,0.0
2025-01-02,False,none,1200.0,1365.168384962963,1200.0,96853.44002000001,61853.478942255,1530.9306567333242,19,7429.492263547796,69282.9712058028,463.51631666666844,139.04864305555554,183.59746352912597,61.1504520833333,133.87572580058182,False,0,0.0
2025-01-03,False,none,1365.168384962963,8524.602754296297,1200.0,97101.54223700002,62142.225156055196,0.0,0,0.0,62142.225156055196,41810.635200370365,1899.502446527778,2083.1786161572427,86.97623923611111,207.72790964512814,False,0,0.0
2025-01-04,False,none,8524.602754296297,6295.31250955556,1200.0,73201.45821099999,46114.0716496969,0.0,0,0.0,46114.0716496969,28672.75817301647,1272.508945138889,1395.7480171433774,88.66262685185185,230.42747765589414,False,0,0.0
2025-01-05,False,none,6295.31250955556,1200.0,1200.0,67539.236345,40949.9714328911,21595.63798639999,61,123574.86864665648,164524.84007954758,0.0,958.1037258680556,1059.7615174482407,51.96776840277779,111.49411819740523,False,0,0.0
2025-01-06,False,none,1200.0,1200.0,1200.0,77689.748114,46920.595956188496,16774.122673833328,52,96292.6025183754,143213.1984745639,0.0,731.1734508333333,810.3329695514897,65.48616236111114,123.10861532833293,False,0,0.0
2025-01-07,False,none,1200.0,1200.0,1200.0,80673.01617399999,49229.0730819447,15684.804753899993,52,92445.65375083458,141674.72683277927,0.0,613.51004375,699.0136844888323,89.11329479166666,199.77013181677117,False,0,0.0
2025-01-08,False,none,1200.0,1200.0,1200.0,83143.44439700001,51069.2000708003,10795.371866833337,41,60811.01098492466,111880.21105572497,34.605943333333926,518.4699234126983,584.1607934599097,77.41083065476192,182.4421622474565,False,0,0.0
2025-01-09,False,none,1200.0,1302.863451,1200.0,82774.886593,50843.388019115606,12539.237476733331,43,72724.57402993891,123567.96204905452,18.48060000000021,546.2416544642857,606.2326979752679,85.81419265873014,173.7899670407988,False,0,0.0
2025-01-10,False,none,1302.863451,7130.594556592593,1200.0,82404.479996,50621.1111404206,0.0,0,0.0,50621.1111404206,28200.805577855972,1360.4741137896826,1481.4448722494196,82.55676478174605,154.60714570561944,False,0,0.0
2025-01-11,False,none,7130.594556592593,6673.279513185186,1200.0,75948.414963,47863.173496668795,0.0,0,0.0,47863.173496668795,29369.734331197535,1357.9650216269843,1496.4034477594153,53.28687113095239,105.92321957359532,False,0,0.0
2025-01-12,False,none,6673.279513185186,1200.0,1200.0,76478.69928,48055.684323255104,12470.547272966664,44,71085.11927411228,119140.80359736738,0.0,520.2810246031745,581.4362160507847,51.864911011904724,106.01706616263745,False,0,0.0
2025-01-13,False,none,1200.0,1200.0,1200.0,82529.242108,50622.1310943735,10104.299225166666,42,56099.71491706875,106721.84601144225,11.837606666666943,546.6230379960317,607.8840060624132,113.4266148809524,203.79192953563884,False,0,0.0
2025-01-14,False,none,1200.0,1200.0,1200.0,82161.91301300001,50348.0373317588,11398.30291203333,44,63557.70249065421,113905.73982241302,7.07416666666677,550.4755350198413,601.8711777319654,68.72368095238095,134.06481744753938,False,0,0.0
2025-01-15,False,none,1200.0,1200.0,1200.0,81673.986342,50014.792604567294,12565.29484823333,43,73173.53708731779,123188.32969188508,5.515850000000228,545.1045950396825,617.4359853684088,57.76238948412694,110.7277862714979,False,0,0.0
2025-01-16,False,none,1200.0,1293.825213,1200.0,81754.596261,50078.53010989421,11698.761269566663,44,65216.50845373797,115295.03856363217,15.660266666666757,545.2176668650794,607.710508861742,91.89092023809523,190.16089926147876,False,0,0.0
2025-01-17,False,none,1293.825213,6987.1513220000015,1200.0,81351.48158600001,49832.731558665204,0.0,0,0.0,49832.731558665204,30215.43259925103,1377.0544077380955,1510.5292498285555,66.01472886904763,140.36838676620675,False,0,0.0
2025-01-18,False,none,6987.1513220000015,6757.7517387407415,1200.0,74573.52319800001,46786.4668627511,0.0,0,0.0,46786.4668627511,29520.1111397284,1366.8830506944444,1500.304006541755,65.81300753968257,119.5986908267074,False,0,0.0
2025-01-19,False,none,6757.7517387407415,1200.0,1200.0,74558.50966,46676.031136212696,12134.87783339999,43,71252.1022307728,117928.1333669855,0.0,519.5138107142858,591.7941772593002,76.82183015873014,147.12906558606494,False,0,0.0
2025-01-20,False,none,1200.0,1200.0,1200.0,80405.228643,49139.9665579868,11747.540709066669,45,67576.5787562297,116716.5453142165,0.0,535.426525297619,601.5623553594573,61.966826190476205,120.15089176753453,False,0,0.0
2025-01-21,False,none,1200.0,1200.0,1200.0,80391.393339,49150.8163010926,8225.20557192,40,46602.431919949144,95753.24822104175,784.9774266666676,503.5408796626984,568.810319995437,190.83489275793647,371.10352534794515,False,0,0.0
2025-01-22,False,none,1200.0,1200.0,1200.0,79495.0472242,48564.180304715584,13315.624034066663,46,77810.45536673904,126374.63567145463,0.0,549.9394330357143,611.4445826395748,76.19667688492066,147.5213427886273,False,0,0.0
2025-01-23,False,none,1200.0,1308.469707,1200.0,79325.270086,48417.4038614633,14097.20940133333,46,82904.539297417,131321.94315888028,0.0,549.9721886904761,613.4980594532782,86.06607857142856,176.2843203486872,False,0,0.0
2025-01-24,False,none,1308.469707,7155.168585518516,1200.0,79289.184174,48372.0073125563,0.0,0,0.0,48372.0073125563,30904.4832048642,1376.6015580357143,1515.4077233379887,98.02464732142857,221.04092649117112,False,0,0.0
2025-01-25,False,none,7155.168585518516,6770.652519333335,1200.0,72383.856885,45317.6959016892,0.0,0,0.0,45317.6959016892,32338.820068662553,1362.0222490079368,1503.381692314247,142.94733908730157,287.1478058036848,False,0,0.0
2025-01-26,False,none,6770.652519333335,1200.0,1200.0,72105.773787,45015.759877318094,13257.118242066661,48,78238.67734305689,123254.43722037498,0.0,549.8661465277778,615.7442851358645,96.06567420634919,220.37532848956295,False,0,0.0
2025-01-27,False,none,1200.0,1200.0,1200.0,78138.58228100001,47508.1336303174,10155.976441933324,43,58847.75247749995,106355.88610781735,0.0,516.6260194444444,576.5736263307995,99.45868115079368,191.11529000034133,False,0,0.0
2025-01-28,False,none,1200.0,1200.0,1200.0,77576.115183,47058.341460786,13259.121530833329,46,77692.64288875263,124750.98434953863,0.0,560.2427874007938,623.6321396730923,63.107023015873,122.58775505757046,False,0,0.0
2025-01-29,False,none,1200.0,1200.0,1200.0,78092.907474,47376.47294205849,7504.406882899994,40,42276.22487317801,89652.6978152365,5.969526666666866,508.9461978174603,586.8568348492493,186.65751180555557,315.17647449065834,False,0,0.0
2025-01-30,False,none,1200.0,1293.8390760000002,1200.0,76986.584045,46528.3628620116,11024.9940743,43,63026.023945488734,109554.38680750033,77.18246666666676,550.7258500000002,617.8726542471861,93.56201269841274,207.64677097069873,False,0,0.0
2025-01-31,False,none,1293.8390760000002,7310.211665407408,1200.0,76057.581703,45919.13428803311,0.0,0,0.0,45919.13428803311,28414.509756744854,1374.1860996031746,1499.5654864599378,81.82166974206345,153.71185553537165,False,0,0.0
2025-02-01,True,none,7310.211665407408,7301.630305666668,1200.0,69219.3549411,42895.400156236385,0.0,0,0.0,42895.400156236385,32822.13799019465,1529.121755456349,1657.6610871943697,63.87095406746034,119.76409334063415,False,0,0.0
2025-02-02,True,none,7301.630305666668,1200.0,1200.0,68646.9230705,42496.911427215295,7267.100730133334,39,42488.43996842425,84985.35139563955,70.29724666666687,398.6325816468254,471.58565277508126,90.89934126984127,177.50460891364278,False,0,0.0
2025-02-03,True,none,1200.0,1200.0,1200.0,74110.56852,44483.266760159,10151.107940000002,42,59176.873299534775,103660.14005969377,5.656866666666929,459.9237017857143,524.9997672611552,76.21958263888887,146.52044090882367,False,0,0.0
2025-02-04,True,none,1200.0,1200.0,1200.0,73523.949115,44094.140225237,11673.92700083333,46,68159.286906389,112253.427131626,0.0,433.8464874007937,504.6702719340624,100.40614186507939,197.02187095637794,False,0,0.0
2025-02-05,True,none,1200.0,1200.0,1200.0,72683.72042,43543.662644468,11905.879620966658,48,68199.84287086254,111743.50551533054,0.0,477.96505625,537.5325493849118,85.95806617063496,176.24931468395087,False,0,0.0
2025-02-06,True,none,1200.0,1316.067861,1200.0,72597.55208,43509.172330189,11655.362615066662,48,67828.92365160868,111338.09598179768,3.0653666666668187,521.7506304563493,594.6417702161002,63.86398303571429,115.20857312921783,False,0,0.0
2025-02-07,True,none,1316.067861,6878.067965925927,1200.0,71972.08788,43055.637877734,0.0,0,0.0,43055.637877734,31672.431951152266,1388.4883057539685,1517.0186658683747,157.96700327380952,312.4503888461475,False,0,0.0
2025-02-08,True,none,6878.067965925927,6884.963997629628,1200.0,64780.337809000004,39778.9495479019,0.0,0,0.0,39778.9495479019,31048.24209325103,1384.013481547619,1515.4290735334946,116.74707628968255,231.3141700497385,False,0,0.0
2025-02-09,True,none,6884.963997629628,1200.0,1200.0,64372.26843999999,39499.000312441,12650.002088599997,49,73348.14016248588,112847.14047492688,0.0,531.8828544642856,590.7555116690179,108.63029503968255,200.68029961495566,False,0,0.0
2025-02-10,True,none,1200.0,1200.0,1200.0,70872.06969,42296.37367929,7887.303570199998,44,44403.92851798362,86700.30219727362,230.73553000000072,526.5151703373016,584.0244399761791,199.73764166666663,367.8638257571329,False,0,0.0
2025-02-11,True,none,1200.0,1200.0,1200.0,70026.9159,41702.106698064,9288.34438633333,44,52660.56025420931,94362.66695227331,0.0,531.8941053571428,594.4379312432314,132.51861299603172,230.96196839788954,False,0,0.0
2025-02-12,True,none,1200.0,1200.0,1200.0,69149.149706,41111.806959989,10234.763173199997,46,59234.212033424265,100346.01899341326,46.53504333333376,529.2951720238095,591.5774477486568,113.92407083333326,220.42664055204506,False,0,0.0
2025-02-13,True,none,1200.0,1318.636512,1200.0,68302.30226,40609.069302204,7431.153477499999,38,41954.12959446471,82563.1988966687,243.65799333333382,541.7815066468253,589.539024631094,226.686366765873,399.0238674400789,False,0,0.0
2025-02-14,True,none,1318.636512,7024.875183925927,1200.0,66784.87719999999,39694.047429811,0.0,0,0.0,39694.047429811,28477.12303786009,1356.8321732142858,1484.2154940609194,108.74203214285717,208.21040215138214,False,0,0.0
2025-02-15,True,none,7024.875183925927,6619.2008601481475,1200.0,60139.78022,36698.095217113,0.0,0,0.0,36698.095217113,29153.561050534983,1350.1975556547618,1481.6746149917376,83.02940089285714,158.5298049663759,False,0,0.0
2025-02-16,True,none,6619.2008601481475,1200.0,1200.0,60236.39026,36636.317339591,12631.541564166659,50,72929.28522922363,109565.60256881463,0.0,534.9450266865078,598.3769566064697,101.82026924603181,205.9585269850694,False,0,0.0
2025-02-17,True,none,1200.0,1200.0,1200.0,65639.05334,38833.305326814996,9262.721758633328,47,53484.755845505555,92318.06117232055,0.0,524.0277694444444,577.2882272144388,131.5957282738095,225.21119995939938,False,0,0.0
2025-02-18,True,none,1200.0,1200.0,1200.0,65179.722044,38517.9484741278,10447.915474993331,47,62329.73247662495,100847.68095075275,0.0,541.8984530753969,617.3480132427309,94.28786250000003,190.15489976371015,False,0,0.0
